country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",26-03-2025 22:00,25.204762,85.51496,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",26-03-2025 22:00,21.371751,81.664929,SO2,10,61,21
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",26-03-2025 22:00,21.371751,81.664929,OZONE,4,32,18
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",26-03-2025 22:00,22.06631475,83.33820077,PM2.5,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",26-03-2025 22:00,22.06631475,83.33820077,NH3,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC",26-03-2025 22:00,28.815329,77.15301,PM2.5,30,383,228
India,Delhi,Delhi,"Alipur, Delhi - DPCC",26-03-2025 22:00,28.815329,77.15301,NH3,11,13,12
India,Delhi,Delhi,"Alipur, Delhi - DPCC",26-03-2025 22:00,28.815329,77.15301,SO2,15,54,27
India,Delhi,Delhi,"Alipur, Delhi - DPCC",26-03-2025 22:00,28.815329,77.15301,CO,28,84,39
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",26-03-2025 22:00,28.647622,77.315809,PM2.5,20,453,278
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",26-03-2025 22:00,28.647622,77.315809,NO2,57,142,104
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",26-03-2025 22:00,28.695381,77.181665,PM2.5,52,357,230
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26-03-2025 22:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26-03-2025 22:00,26.63086,84.90051,OZONE,11,14,13
India,Bihar,Munger,"Town Hall, Munger - BSPCB",26-03-2025 22:00,25.376776,86.471523,PM2.5,42,220,107
India,Bihar,Munger,"Town Hall, Munger - BSPCB",26-03-2025 22:00,25.376776,86.471523,PM10,60,186,119
